TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,"""+/-""",Year
Toronto Raptors,22,18,4,0.818,48.2,117,44.1,89.6,49.3,11.8,33.5,35.1,17,21.5,78.9,10.4,36.1,46.5,25.5,15.2,8.3,5.5,5,22.1,20.8,8.9,2018
Milwaukee Bucks,21,15,6,0.714,48.2,120.8,44.6,91.5,48.8,14.5,40.5,35.8,17,22.3,76.3,10,40.4,50.5,27.3,15.3,6.9,6,4.9,21,20.8,10.7,2018
LA Clippers,20,14,6,0.7,48.8,116.8,41.6,88.6,46.9,9.6,25.2,38,24.1,29.7,81.3,9.8,37.5,47.3,22.2,14.6,5.9,5.6,6.5,23.3,25.3,5,2018
Golden State Warriors,22,15,7,0.682,48.2,116,43.2,87.4,49.4,11.5,29.7,38.5,18.1,22.1,81.9,9.7,36.1,45.8,27.9,14.9,7.3,6.4,3.6,22.5,20.5,5.3,2018
Denver Nuggets,21,14,7,0.667,48.2,110.3,41.9,90,46.6,10.2,29.9,34.1,16.3,21.7,75.2,12.1,35.4,47.5,26.5,14.3,8.5,5,5.8,21,21.5,8,2018
Philadelphia 76ers,23,15,8,0.652,48.9,114.3,40.3,87.3,46.2,11.1,31.5,35.4,22.4,28.9,77.6,10,37.7,47.7,26.6,16.1,6.7,5.5,5,23.5,24.7,1.1,2018
Oklahoma City Thunder,20,13,7,0.65,48,110.4,41.6,93.4,44.5,9.7,31.6,30.7,17.5,24.7,70.8,13.4,35.2,48.6,22.1,14,10.4,5.6,5,22.4,23.7,6,2018
Indiana Pacers,21,13,8,0.619,48,106.5,41.3,85.9,48.1,9.4,25.1,37.6,14.5,20.1,71.9,8.6,33.5,42.1,24.2,14.3,9.1,5.2,5.8,19.4,19.7,4.3,2018
Portland Trail Blazers,21,13,8,0.619,48.2,112.8,40.9,90.8,45.1,11.7,32.7,35.9,19.2,23.4,82.1,12,38.1,50.1,20.6,14.6,6.1,4.4,6.1,20.4,20.7,2,2018
Detroit Pistons,18,11,7,0.611,49.1,111.8,40.2,91.9,43.8,11.2,34.3,32.6,20.2,27.4,73.8,12.8,34.7,47.4,21.5,14.6,6.9,3.8,5.1,24.2,24.4,1.1,2018
Memphis Grizzlies,20,12,8,0.6,48.5,103.6,37.8,82.8,45.6,10.2,27.8,36.6,17.9,23.8,75.2,7.6,31.7,39.3,23.8,13.4,9,6,4.8,22.8,22.5,1.6,2018
Los Angeles Lakers,20,11,9,0.55,48.3,112.8,43.2,91,47.4,10.3,29.7,34.7,16.2,22.6,71.5,10.1,35.8,45.8,23.8,15.8,8.4,6.5,5.4,21,21.2,-0.2,2018
Dallas Mavericks,19,10,9,0.526,48.3,111.1,39.8,85.4,46.6,12.2,33.5,36.5,19.3,25.7,75,9.7,34.5,44.2,22.9,16.6,7.7,4.8,4.7,21,24.9,2.5,2018
Boston Celtics,21,11,10,0.524,48.5,107.1,39.8,90.5,44,12.6,35.9,35,15,19.3,77.5,10.4,35.6,46,24.4,13.7,8.4,5.3,4,21.4,20.5,2.8,2018
Charlotte Hornets,21,11,10,0.524,48.5,114.9,42,91,46.1,12.2,34,36,18.7,23.4,80,9.5,34.8,44.3,24.5,12.9,7.6,5.6,6.7,20.7,22,4.9,2018
Minnesota Timberwolves,22,11,11,0.5,48,109.9,40.2,91.1,44.2,10.9,30.1,36.1,18.5,22.8,81.4,11.4,32.9,44.2,23.4,13.6,9.6,5.5,5.2,19.9,21.5,-0.3,2018
New Orleans Pelicans,22,11,11,0.5,48,118.5,44,92.3,47.7,10,28.5,34.9,20.5,26.9,76.5,12.4,36.2,48.6,26.6,15.4,7.2,5.7,5.3,22.5,23.2,1.5,2018
Sacramento Kings,20,10,10,0.5,48,114.2,43.7,91.8,47.6,10.8,27.9,38.6,16,23.2,69,10.1,35.2,45.2,24.7,14.9,8.3,4.6,5.6,23.1,22.5,-2.6,2018
San Antonio Spurs,21,10,11,0.476,48.5,108.6,40.5,89.9,45.1,9.4,24.7,38,18.2,22.3,81.4,11.1,34,45,23.5,12.3,6,4.1,4.6,18.7,21.7,-2.3,2018
Orlando Magic,22,10,12,0.455,48,106.1,40.5,89.1,45.4,11.1,31.5,35.2,14.1,18,78.3,9.1,33,42.1,26.4,13.7,7.3,5.7,5,20.3,19.7,-3,2018
Utah Jazz,22,10,12,0.455,48,105.3,37.9,83.4,45.5,10,31.5,31.9,19.5,27.3,71.2,9.4,33.2,42.6,23.3,16,8.7,5.4,4.4,22.5,24,-2.8,2018
Houston Rockets,20,9,11,0.45,48.5,108.2,38.1,85.7,44.4,14.2,42,33.8,17.9,24.1,74.4,11.2,29.6,40.7,20.8,15,8.2,6,4.6,23.4,21.1,-2.1,2018
Washington Wizards,21,8,13,0.381,48.5,112.9,40.9,89.1,45.8,10.6,33,32.2,20.5,27.3,75.2,9.5,31.7,41.2,23.9,14.2,8.6,6.4,4.9,22.8,24,-5.4,2018
Brooklyn Nets,22,8,14,0.364,48.2,109.3,39.8,89.2,44.6,12.1,34.2,35.3,17.6,24.2,72.9,12.3,32.3,44.6,22.6,14.7,6.7,4.2,4.9,23.7,21.8,-1.8,2018
Miami Heat,20,7,13,0.35,48.3,108.6,39,89.8,43.5,12.1,33.4,36.1,18.6,26.3,70.5,12.3,35.3,47.6,22,16.1,7.4,6.6,6,23.6,23.8,-1.9,2018
